Name,Date,Title,Review,Rating,Type,Details,positive,negative,neutral,compound
Amazon Customer,Reviewed in India on 10 August 2024,Heating or charging issue,Heating or charging issue,3.0 out of 5 stars,Apple iPhone 14 Pro Max,No Details,0,0,1,0
AVI deOry,Reviewed in India on 24 September 2022,Purchased this only for “Dynamic Island”,"(Pre-ordered on 10th of September, package received today i.e 24th of September). I was already using iPhone 13 Pro Max from past 11 months and had say it is still the best value for money iPhone you can buy this time, at least in India considering huge price jump from previous models. I only purchased iPhone 14 Pro Max just because of “Dynamic Island” and tbh i literally got bored after few minutes of using and experimenting with it. Well definitely it’s a fresh design but is it really worth paying almost 40K extra for that new notch? I would say go with 13 pro/max and save your money. Also I am surprised that this iphone is so demanding this year, if you have already planned to buy 14 pro/max then you have to wait for a month or so…it is literally out of stock from everywhere. My scheduled delivery date was of 17th of september but due to limitation of stock i received this device so late.",4.0 out of 5 stars,Apple iPhone 14 Pro Max,No Details,0.116,0.043,0.841,0.8706
Tanvi,Reviewed in India on 26 October 2023,Apple product is the best,I was not a user of Apple before and took a very straight jump to iPhone promax 14 and now I am stuck with the sheer performance of the phone. I also want to say that from Amazon also the package was delivered with security with timely response. In front of Apple ios i must say android is no where stands,5.0 out of 5 stars,Apple iPhone 14 Pro Max,No Details,0.125,0.069,0.806,0.3384
Jewel B.,Reviewed in India on 6 August 2023,Best iPhone ever!,"Firstly, battery life in an iPhone is excellent nowadays, i am upgrading from iPhone XR, where battery life was terrible, i hardly managed to survive throughout the day, but in this case i am almost getting 2 day on a single charge, i am a heavy user, expect I don't do gaming! About performance everyone knows, so no comment🥰! Camera is superb as well! Only thing is it's expensive! But worth every penny👍",5.0 out of 5 stars,Apple iPhone 14 Pro Max,No Details,0.179,0.074,0.747,0.8526
Saron Salamon Danial Raj,Reviewed in India on 29 September 2023,Class,Good but heating while using mobile network. Rest as you know apple excels in all sides.,4.0 out of 5 stars,Apple iPhone 14 Pro Max,No Details,0.324,0,0.676,0.7717
Biswashree Dash,Reviewed in India on 14 August 2023,Great,"So far it has been an awesome experience with the Iphone 14 Pro Max. But it just felt a lil bad when prices got decreased after I bought it. No doubt it’s a great phone. However, I feel it’s overpriced compared tổ it’s competitors like google pixel and Samsung S3 Ultra.. But overall it’s a complete package…",5.0 out of 5 stars,Apple iPhone 14 Pro Max,No Details,0.168,0.158,0.674,0.1655
ranjan khirade,Reviewed in India on 18 January 2024,"Dream Phone, unbelievable Camera,","Like very Much, dream Phone, its a status symbol",5.0 out of 5 stars,Apple iPhone 14 Pro Max,No Details,0.443,0,0.557,0.5829
Amazon Customer,Reviewed in India on 18 September 2023,It’s an iPhone,Was skeptical buying this device.. once the device was out for delivery… delivery agent called immediately. Reached my house in 20mins. I checked the seal and packing of the device.. powered it on and matched the imei and serial numbers. So far good. Really happy.,5.0 out of 5 stars,Apple iPhone 14 Pro Max,No Details,0.168,0.045,0.786,0.7408
Sulakshana,Reviewed in India on 22 August 2023,Mint condition,I upgraded from a 12 to 14 pro max. Loving it. Suddenly seems too big to hold in one hand. But will get used to it. Did a lot of research on 15 before buying this. Didn’t seem to have too much difference. So went for it. Loving it.,5.0 out of 5 stars,Apple iPhone 14 Pro Max,No Details,0.187,0,0.813,0.872
Prashanth B J,Reviewed in India on 13 October 2022,The Best Product from Apple with an EPIC Battery Performance,"Best iPhone from Apple. Display, camera, video quality is top notch. Any other mobile can’t match up to iPhone 14 pro max. AOD is slightly brighter which will drain phone battery by 7% over night. Epic battery performance. Better to disable AOD until it gets fixed by any new update. Rest all features of the mobile is top class. Dynamic field notification is classy. Main disappointment we need to wait till end of December to get the iOS software update for 5G connectivity.",5.0 out of 5 stars,Apple iPhone 14 Pro Max,No Details,0.191,0.034,0.775,0.9218
Nilesh Shah,Reviewed in India on 10 October 2023,The power button is not working properly,We visited to the nearby iPhone store after finding some difficulty in pressing the power button. They suggested that it’s a default and you should complain from where you bought it.,3.0 out of 5 stars,Apple iPhone 14 Pro Max,No Details,0,0.149,0.851,-0.5994
Piyush Kumar,Reviewed in India on 2 May 2023,Luxury and high Premium Phone,"A WOW Moment to have a highly advanced hi-tech iPhone in your hand loaded with so many features. Wide screen will allow you to watch movies, songs, play games, check and reply emails and browse social media sites with great ease. Sound quality is also very clean and loud with full volume.Just love to take selfie with great clarity and ease. No comparison with any other phone for Battery life, touchscreen and durability.",5.0 out of 5 stars,Apple iPhone 14 Pro Max,No Details,0.383,0.023,0.594,0.9875
Gaurav Shahdeo,Reviewed in India on 23 May 2023,About phone,"The iPhone Pro Max series typically offers a larger display and more advanced features compared to the standard iPhone models. These devices often come with top-of-the-line specifications, including a powerful processor, high-quality cameras, and enhanced display technology. The Pro Max models also tend to have a larger battery, providing extended battery life.",5.0 out of 5 stars,Apple iPhone 14 Pro Max,No Details,0.098,0,0.902,0.624
darshan,Reviewed in India on 4 July 2023,Amazing,"This is my first apple phone and i have to admid why all world is crazy for iphone, quality is best all features are very useful design purposefully. Finally have entered apple ecosystem.Must buy phone if you have budget go for 14 promax....",5.0 out of 5 stars,Apple iPhone 14 Pro Max,No Details,0.152,0.049,0.799,0.7178
Kalyan,Reviewed in India on 8 August 2023,Camera,Camera quality is good,4.0 out of 5 stars,Apple iPhone 14 Pro Max,No Details,0.492,0,0.508,0.4404
Jyoti Jitendra Mali,Reviewed in India on 3 January 2023,Sound quality is very very good.  It's nearer to Dolby.,"I like the speaker very much, while listening songs I don't need any headfone to feel Dolby sound.Mainly everyone is aware about the camera quality of IPhone which is much better than any other brand.But only the issue I faced is of Whatsapp data transfer from Android to iPhone. Data we can't take backup from Android to iPhone.Overall excellent performance....",5.0 out of 5 stars,Apple iPhone 14 Pro Max,No Details,0.144,0,0.856,0.8442
Pratiek Deshmukh,Reviewed in India on 19 July 2023,Camera,Good processor chip and excellent camera,4.0 out of 5 stars,Apple iPhone 14 Pro Max,No Details,0.623,0,0.377,0.765
RATHIN BISWAS,Reviewed in India on 9 October 2023,Very good & fully satisfying,Receive with very good packing & original product.i'm fully satisfied.Thanks Amazon for orginal product and for timely delivery.,5.0 out of 5 stars,Apple iPhone 14 Pro Max,No Details,0.356,0,0.644,0.774
Amar,Reviewed in India on 2 December 2023,It's iphone.,Apple Iphone doesn't need any introduction.,5.0 out of 5 stars,Apple iPhone 14 Pro Max,No Details,0,0,1,0
Manjunath.S,Reviewed in India on 3 October 2022,Worth upgrading?,"Worth is subjective and differs from person to person. I’m not sure why everyone keeps comparing this to previous year iPhone as normal people usually upgrade from 2 or 3 generations. I’m upgrading from iPhone 11 Pro and I have plenty to like on the phone. The camera, the display, 120hz refresh rate and dynamic island. Overall it’s a worthy upgrade for me.",5.0 out of 5 stars,Apple iPhone 14 Pro Max,No Details,0.15,0.03,0.82,0.7869
AMARTYA SARKAR,Reviewed in India on 22 September 2022,Best iPhone ever - IPhone 14 Pro Max,After a lot of delay from Amazon finally experienced the Best iPhone so dar !! Smooth silky feel on touch screen. Awesome camera features…quality of  sound is immersive. The deep purple colour is electrifying and feels like a new colour at different times of day and night !! The coolest feature is the Dynamic island on the top.. Must buy for all Apple lovers 👍,5.0 out of 5 stars,Apple iPhone 14 Pro Max,No Details,0.256,0.03,0.715,0.9543
Chaitanya,Reviewed in India on 30 April 2023,Not so impressive,"It’s okay .. okay product the cam is not so good when compared with other mobiles like Samsung , dynamic island is very good idea . And rest all features are very common with all other iPhone models. Weight is bit high when compared to iPhone 14 and 14plus. Price is also high.",3.0 out of 5 stars,Apple iPhone 14 Pro Max,No Details,0.148,0.101,0.751,0.2127
Pankaj,Reviewed in India on 8 October 2022,It’s expensive by at least 40k here in india 🇮🇳 Don’t know why,"Product is used cause I have been using only Apple phones since they were launched back then and dont miss the product , but the productions is over priced here in india only which shud be not the case . Apple shud keep the rates at par as in USA as the production is being done here in india now .",5.0 out of 5 stars,Apple iPhone 14 Pro Max,No Details,0.043,0,0.957,0.121
Deepak Arya,Reviewed in India on 26 October 2022,The Best SmartPhone,The aesthetic silver colour adds the charm to it. Performance is best. Battery is good. Easily handles many apps at one time. Camera is best. A bit heavy which makes you feel extra cautious for it.Dynamic island looks good and feels good when you are on call and want to quick toggle to notepad/ any other app,5.0 out of 5 stars,Apple iPhone 14 Pro Max,No Details,0.327,0.019,0.654,0.9686
Ankita,Reviewed in India on 22 March 2023,Superb go for it,There is not much price difference between the 14 pro 128 and 14 pro max 128 only 4 k difference ( on Amazon )You get a bigger screen and better battery life too .It is comfortable to use even if you have small hands *not to small*,5.0 out of 5 stars,Apple iPhone 14 Pro Max,No Details,0.165,0,0.835,0.7845
Rasagna,Reviewed in India on 21 October 2023,Super clarity,Battery backup is less I felt also no quick charging,5.0 out of 5 stars,Apple iPhone 14 Pro Max,No Details,0,0.195,0.805,-0.235
Narvair Singh,Reviewed in India on 17 November 2023,Good product,Good product,5.0 out of 5 stars,Apple iPhone 14 Pro Max,No Details,0.744,0,0.256,0.4404
Jayesh,Reviewed in India on 13 March 2023,Extremely premium,After 10 years of using android finally switched to apple iphone 14 pro max. Not feeling the sting yet. Only drawback which i have noticed is adding music into library is a pain. Otherwise very happy with the phone. Nothing more premium than this one at the moment.,5.0 out of 5 stars,Apple iPhone 14 Pro Max,No Details,0.077,0.09,0.832,0.0831
Sg,Reviewed in India on 18 October 2023,The phone is fabulous. Please email me my bill copy,The phone is fabulous. Please email me my bill copy,5.0 out of 5 stars,Apple iPhone 14 Pro Max,No Details,0.416,0,0.584,0.6908
SOHAM JOARDAR,Reviewed in India on 1 October 2022,KILLER PERFORMANCE 🫣,"I upgraded from 12 Pro Max to 14 Pro Max and I feel the difference between 60hz to 120hz it's buttery smooth also camera will run in 12 MP mode until you turn on RAW mode, aslo charging seems a little bit faster I use a 35W dual type C brick to charge the device. I'll add more photos later.",5.0 out of 5 stars,Apple iPhone 14 Pro Max,No Details,0,0,1,0
Harsh Raj Dubey,Reviewed in India on 3 August 2023,One of the best buys,"This is my first iPhone.Very happy with it, battery is never an issue in the pro Max models,Camera is too good, overall highly satisfied...",5.0 out of 5 stars,Apple iPhone 14 Pro Max,No Details,0.231,0,0.769,0.765
"Best in World Class for Performance, Photography, Touch, screen, Video Graphy",Reviewed in India on 14 September 2023,Classy In world,"Performance World Best , Display a world new era, Complete Device",5.0 out of 5 stars,Apple iPhone 14 Pro Max,No Details,0.344,0,0.656,0.6369
AKASH SHARMA,Reviewed in India on 18 April 2023,Android is better when it comes to os,"Switched to iphone from android and i miss some basic features which were easily available in Android like call log, calculator etc etc",4.0 out of 5 stars,Apple iPhone 14 Pro Max,No Details,0.192,0.063,0.745,0.5106
Placeholder,Reviewed in India on 8 October 2023,Wonderful phone,Very satisfying…. Has everything that’s needed,5.0 out of 5 stars,Apple iPhone 14 Pro Max,No Details,0,0,1,0
sachin choudhary,Reviewed in India on 16 August 2023,Iphone 14 pro max,Just awesome.No need to explain quality and performance.Hard to choose from iphone 14 pro max and samsung s23 ultra.I recommend to buy Both🥴.,5.0 out of 5 stars,Apple iPhone 14 Pro Max,No Details,0.102,0,0.898,0.3612
Satendra,Reviewed in India on 23 October 2022,Samsung S22 Ultra Better than iPhone 14 Pro Max,I own samsung s22 ultra. I bought iphone 14 pro max as well. But after comparing them in day to day life. I find samsung s22 ultra better than iPhone in many things. Samsung screen has dot notch. Iphone island is not much useful. Samsung has no round corner screen. Iphone has round screen. Overall samsung much better. Iphone has status and so i bought it for it only.,3.0 out of 5 stars,Apple iPhone 14 Pro Max,No Details,0.123,0.079,0.798,0.5173
Amazon Customer,Reviewed in India on 9 October 2023,Awesome experience,Nice product,5.0 out of 5 stars,Apple iPhone 14 Pro Max,No Details,0.737,0,0.263,0.4215
Ravi Rai,Reviewed in India on 26 August 2023,Good Security,Best quality of mobile phones I liked IPHONE PRO MAX,5.0 out of 5 stars,Apple iPhone 14 Pro Max,No Details,0.5,0,0.5,0.7906
Swapnil P. Maskar,Reviewed in India on 30 September 2023,Good Product,Good Product,5.0 out of 5 stars,Apple iPhone 14 Pro Max,No Details,0.744,0,0.256,0.4404
Its a fake product dnt buy any more,Reviewed in India on 6 October 2023,I phone,Nice,5.0 out of 5 stars,Apple iPhone 14 Pro Max,No Details,1,0,0,0.4215
Santosh Nidagundi,Reviewed in India on 30 July 2023,Wonderful Phone,"It’s an all round amazing Phone - Battery, display, camera, looks, UI, Speed. Good one if you are able to stretch your budget",5.0 out of 5 stars,Apple iPhone 14 Pro Max,No Details,0.251,0,0.749,0.7717
Md m.,Reviewed in India on 15 September 2023,Suoerb,Too good,5.0 out of 5 stars,Apple iPhone 14 Pro Max,No Details,0.744,0,0.256,0.4404
nagesh Jathar,Reviewed in India on 9 August 2023,Promised delivery by amazon,Good product delivered in safer way and with Amazon assured Saftey.,5.0 out of 5 stars,Apple iPhone 14 Pro Max,No Details,0.586,0,0.414,0.836
Gautham K,Reviewed in India on 25 August 2023,Best,Go for it if u have money,5.0 out of 5 stars,Apple iPhone 14 Pro Max,No Details,0,0,1,0
Namita Singh,Reviewed in India on 22 June 2023,Apple,Replacement done by Apple service center and got a new one as the purchased one was showing some defect,5.0 out of 5 stars,Apple iPhone 14 Pro Max,No Details,0,0.124,0.876,-0.34
Dinesh khatri,Reviewed in India on 27 September 2022,Not worth to buy😔,Not any significant upgrade in iPhone 14 pro maxDynamic island is not very useful it is just some animations for kid level satisfactionEven battery drains faster than earlier generation48 mps main camera is not as powerful in any formThis year only do the sale marketing not worked over product upgradation,3.0 out of 5 stars,Apple iPhone 14 Pro Max,No Details,0,0.122,0.878,-0.6754
ARUN,Reviewed in India on 6 July 2023,Awsome Phone,Phone is just awsome. Good packaging and on time delivery by amazon. Very mice phone and camera. Just loved it,5.0 out of 5 stars,Apple iPhone 14 Pro Max,No Details,0.333,0,0.667,0.8176
Murli Mohan Rao,Reviewed in India on 27 June 2023,Great Apple product,I use it for both business and personal through an esim and a physical sim. Both are a breeze,5.0 out of 5 stars,Apple iPhone 14 Pro Max,No Details,0,0,1,0
Navdeep,Reviewed in India on 11 August 2023,Good,Overall good with good battery life and camera.,5.0 out of 5 stars,Apple iPhone 14 Pro Max,No Details,0.492,0,0.508,0.7003
Abby,Reviewed in India on 3 September 2023,Always liked,Always like,5.0 out of 5 stars,Apple iPhone 14 Pro Max,No Details,0.714,0,0.286,0.3612
Bhavani Shankar,Reviewed in India on 30 July 2023,Outstanding,Like it so much. It’s exactly as it should be.,5.0 out of 5 stars,Apple iPhone 14 Pro Max,No Details,0.217,0,0.783,0.3612
Rahul ahuja,Reviewed in India on 26 October 2022,Best phone ever,I always buy iPhones from amazon because of the trust and Apple iPhone doesn’t need any reviews this is by far the best phone in the market today go fir it loving the camera and the quality gold color is the best,5.0 out of 5 stars,Apple iPhone 14 Pro Max,No Details,0.325,0,0.675,0.9538
Akshay,Reviewed in India on 29 December 2022,iPhone 14 pro max,14 pro max capable of taking best photos and videos in any condition in comparison with any other smartphones as the sensor is upgraded to 48 MP and Dynamic island is new feature and overall phone is good to use.,5.0 out of 5 stars,Apple iPhone 14 Pro Max,No Details,0.255,0,0.745,0.9062
Aditya Choudhary,Reviewed in India on 2 August 2023,Good phone,Everything is good than android,5.0 out of 5 stars,Apple iPhone 14 Pro Max,No Details,0.42,0,0.58,0.4404
Pawan Bhamar,Reviewed in India on 11 August 2023,Good to purchase,Good to purchase but Battery should be improved,5.0 out of 5 stars,Apple iPhone 14 Pro Max,No Details,0.504,0,0.496,0.7269
Sharath,Reviewed in India on 3 April 2023,Great phone and expensive,Nice phone,4.0 out of 5 stars,Apple iPhone 14 Pro Max,No Details,0.737,0,0.263,0.4215
Mohit Kumar,Reviewed in India on 24 August 2023,"Camera,feature",Awesome product. Thank you Apple and Amazon for fast delivery,5.0 out of 5 stars,Apple iPhone 14 Pro Max,No Details,0.542,0,0.458,0.8074
Lalmuanawma,Reviewed in India on 29 July 2023,"Amazing, fast delivery",Perfct evryting,5.0 out of 5 stars,Apple iPhone 14 Pro Max,No Details,0,0,1,0
Swetabja Hazra,Reviewed in India on 17 August 2024,Top quality product,Apple prices are very high but their quality is top notch. No other company can match their level. That is why this phone is used by most BGMI Esports players.,5.0 out of 5 stars,Apple iPhone 14 Pro Max,No Details,0.067,0.085,0.848,-0.1531
jitu,Reviewed in India on 5 March 2023,Wonder full .thats so pretty,Good,4.0 out of 5 stars,Apple iPhone 14 Pro Max,No Details,1,0,0,0.4404
Mukesh,Reviewed in India on 16 January 2023,battery got discharged very fast in about 14-16 hours while watching videos online,"I bought iPhone 14 pro max on 06 Jan 23 since I noticed that battery got discharged very fast about 14-16 hours video playback time while watching videos online, YouTube videos etc.",3.0 out of 5 stars,Apple iPhone 14 Pro Max,No Details,0,0,1,0
Ananya,Reviewed in India on 9 July 2023,Best phone ever,Best phone ever,5.0 out of 5 stars,Apple iPhone 14 Pro Max,No Details,0.677,0,0.323,0.6369
Rahul,Reviewed in India on 9 March 2023,Perfect.,"Without a doubt, the best phone in the market. Took it as I am fortunately or unfortunately absorbed in the apple ecosystem. Highly recommended",5.0 out of 5 stars,Apple iPhone 14 Pro Max,No Details,0.15,0.206,0.644,-0.3747
Rajive Dey,Reviewed in India on 28 June 2023,Very nice worth it,Very nice worth it,5.0 out of 5 stars,Apple iPhone 14 Pro Max,No Details,0.725,0,0.275,0.6453
Gunja Sharma,Reviewed in India on 21 August 2023,The BEST ❤️,No second thoughts !!,5.0 out of 5 stars,Apple iPhone 14 Pro Max,No Details,0,0.481,0.519,-0.4184
VICKY PRASAD,Reviewed in India on 20 July 2023,Super,Nice,5.0 out of 5 stars,Apple iPhone 14 Pro Max,No Details,1,0,0,0.4215
Satya Tiwari,Reviewed in India on 16 November 2022,Beast phone with excellent camera.,The price is on higher side but the iPhone comes with best performance. There is huge upgrade on camera as compared to older models. Battery can be little bit better.,5.0 out of 5 stars,Apple iPhone 14 Pro Max,No Details,0.311,0,0.689,0.9214
Dibakar,Reviewed in India on 2 May 2023,Nothing can compete with this IMO,Nothing can compete with this IMO best phone in the market,5.0 out of 5 stars,Apple iPhone 14 Pro Max,No Details,0.296,0,0.704,0.6369
Atreyapurapu Radha Madhav,Reviewed in India on 8 May 2023,Most Trusted Online Site,Trust the product delivery on time and correct product.,5.0 out of 5 stars,Apple iPhone 14 Pro Max,No Details,0.292,0,0.708,0.5106
U,Reviewed in India on 22 April 2023,The Best You’ll Get,"It’s super fast, the camera is unparalleled and overall reliable. Value for money",5.0 out of 5 stars,Apple iPhone 14 Pro Max,No Details,0.364,0,0.636,0.743
trilokesh narzary,Reviewed in India on 14 October 2022,Happy,Got the product in good condition 👍 as preordered and delivery was delayed by 3 days but I am happy 😃 thanks Amazon and seller appario retail.,5.0 out of 5 stars,Apple iPhone 14 Pro Max,No Details,0.399,0.045,0.556,0.9091
Vishnu G.,Reviewed in India on 30 December 2022,Everything Top Notch,Upgraded from iPhone 6 Plus to iPhone 14 pro Max.Everything is superb about this iPhone 14 pro max. Just go for it.,5.0 out of 5 stars,Apple iPhone 14 Pro Max,No Details,0.17,0,0.83,0.6249
Dibyaprakash Pradhan,Reviewed in India on 10 May 2023,True Value,"Premium experience, monstrous performance",5.0 out of 5 stars,Apple iPhone 14 Pro Max,No Details,0,0,1,0
Lakshmesh Kumar Singh,Reviewed in India on 24 May 2023,Good,Good,5.0 out of 5 stars,Apple iPhone 14 Pro Max,No Details,1,0,0,0.4404
Meet,Reviewed in India on 2 November 2022,"Must buy, go beyond 256 GB","Needless to say it is great iPhone. If you love photography and you would like to shoot in ProRaw format, buy more storage.",5.0 out of 5 stars,Apple iPhone 14 Pro Max,No Details,0.335,0.075,0.59,0.8555
Amazon Customer,Reviewed in India on 20 May 2023,Super,Amazing project,5.0 out of 5 stars,Apple iPhone 14 Pro Max,No Details,0.792,0,0.208,0.5859
PRASHANT SIDHPURA,Reviewed in India on 11 May 2023,Flagship experience,Definitely recommended,5.0 out of 5 stars,Apple iPhone 14 Pro Max,No Details,1,0,0,0.5423
Dhruvjyoti Ray,Reviewed in India on 26 December 2022,Go for it.,"Arguably the best smartphone on the planet, the design is future-proofed for many years to come. The build and quality are a 10/10. Go for it ✅",5.0 out of 5 stars,Apple iPhone 14 Pro Max,No Details,0.144,0.068,0.788,0.4939
Vishal,Reviewed in India on 18 May 2023,Phone is much better,Like,5.0 out of 5 stars,Apple iPhone 14 Pro Max,No Details,1,0,0,0.3612
Prudhvi Raj Pattupogula,Reviewed in India on 25 October 2022,Smooth and long lasting battery,"Totally loved it. The cameras are awesome, night photography is well improved. Battery is the best. The display is buttery smooth and beautiful.",5.0 out of 5 stars,Apple iPhone 14 Pro Max,No Details,0.56,0,0.44,0.9705
Priyam R.,Reviewed in India on 16 August 2023,28 people found this helpful,Report,1.0 out of 5 stars,Apple iPhone 14 Pro Max,No Details,0,0,1,0
jagadish,Reviewed in India on 22 March 2023,"Packing was worst big  box with no cushioning ,,the phone was getting Thrown all over the box",Nothing can beat android and its professional.,3.0 out of 5 stars,Apple iPhone 14 Pro Max,No Details,0,0,1,0
Bhanu,Reviewed in India on 26 February 2023,Good and Genuine so far,5 people found this helpful,5.0 out of 5 stars,Apple iPhone 14 Pro Max,No Details,0.52,0,0.48,0.5023
M RAHUL,Reviewed in India on 9 March 2023,👍 Perfectly Delivered,"Best Price, Perfectly Delivered",5.0 out of 5 stars,Apple iPhone 14 Pro Max,No Details,0.808,0,0.192,0.8555
Guddu Laishram,Reviewed in India on 16 October 2022,Well up to the mark!!!,The new features are the things that makes distinctive features!!!,5.0 out of 5 stars,Apple iPhone 14 Pro Max,No Details,0,0,1,0
Vishal Jadhav,Reviewed in India on 18 November 2022,How it is ?,"God level performance, best camera quality Videos are awesome and with dynamic island this phone is worth ❤️❤️❤️",5.0 out of 5 stars,Apple iPhone 14 Pro Max,No Details,0.534,0,0.466,0.9313
Priya,Reviewed in India on 1 November 2022,Excellent performance,Genuinely happy with the performance of this phone,5.0 out of 5 stars,Apple iPhone 14 Pro Max,No Details,0.346,0,0.654,0.5719
Sandeep Kumar,Reviewed in India on 17 March 2023,BEST,BEST FROM APPLE,5.0 out of 5 stars,Apple iPhone 14 Pro Max,No Details,0.677,0,0.323,0.6369
Mahesh Yadav,Reviewed in India on 3 January 2023,Everything is awesome,Amazing product by Apple !!,5.0 out of 5 stars,Apple iPhone 14 Pro Max,No Details,0.523,0,0.477,0.658
Sanjeev Singh,Reviewed in India on 7 April 2023,Camera,Very nice,5.0 out of 5 stars,Apple iPhone 14 Pro Max,No Details,0.756,0,0.244,0.4754
souvik mukherjee,Reviewed in India on 29 December 2022,Just awesome,Everything especially the camera,5.0 out of 5 stars,Apple iPhone 14 Pro Max,No Details,0,0,1,0
Radha Singh,Reviewed in India on 20 February 2023,48 people found this helpful,Report,1.0 out of 5 stars,Apple iPhone 14 Pro Max,No Details,0,0,1,0
Sandy Cariappa,Reviewed in India on 7 October 2023,iPhone XR to iPhone 15,"Just made the transition and here’s my POV on the first ~2 month of usePros- Battery Life is awesome, easily get about a day plus on this, so no Compliants- Screen fluidity is smooooooth! Understandable as I’m transitioning into an OLED from LCD in XR. The panel gets a solid peak brightness quotient so happy here- Screen brightness is good as compared to XR, 2200 nits, but I hardly go beyond 30% brightness to save some juice. Whilst outside I did crank it up and it’s spotless- Dynamic Island is fun, yet to use it to the fullest. Like the way it shows the ETA on delivery and Uber. Simple solution instead of you having to get into the app to check on the ETA- Weight, this phone is soo bloody light!! Understandable as XR was a brick, this is soo welcome- Camera is awesome, love the 48MP intervention, the portrait mode and cinematic mode does the job for me.- The Apple eco system, I enjoy seamless integration of my Watch, Mac, IPad Air and IPhone- Apples approach on Security!- Transferring data from my XR to 15 using the built in app is flawlessCons- The phone was over heating , there is a solution to this from Apple = back up the phone and then erase and reset the phone… including your eSIM settings.. once done set up the phone with the back up….. works like a charm- I still believe Apple should have thrown in a charging brick with such purchasesIndustry memes- USB C : honestly don’t give a jack for the reviews out there on this. It’s just a mode of charging for me and that’s it. I’m not going to be transferring any data so yea, 2.0 speed yadadada - thank you so much- Blue is not blue but white! Think people whining about this should go back to 13/14 or those ludicrous blues in Androids!! These are pestle shades people!!- Buying an Apple product to show off!! I mean, you even serious? You buy a product and then comment on why you should not buy one?- 60hz refresh rate for a 80k phone : save your jokes people, there are many of us who appreciate quality and security than how the screen refreshes. For non gamers like me, panel that is here is apt. I’ve seen a ton of folks buying 120hz phones and using it only to make calls, watch some videos and for textingTips of managing battery health- Switch off background app refresh for apps you don’t need back ground refresh- Avoid wireless charging as this heats your devise up- I charge my phone only using a power bank  not direct wired or wireless charging- Don’t let the battery go below 20%, keep it always between 95% and 20%- Switch off location services and allow only certain app that needs your location service- Switch on Charging Optimisation under the battery section- I don’t use vibrate mode for rings/incoming calls etc- My XR after 5 years of use has 86% battery health so I guess I know what I’m recommending aboveVendor Experience : Appario Retail Private Limited. 5/5, been a regular customer and they have never disappointed me even once. The purchase experience is breezy and quick, thanks team for the support and look forward to the collaboration in the future.….. watch out for this space. Will keep updating in case of significant change in experience",5.0 out of 5 stars,Apple iPhone 15,Colour: BlueSize: 128 GB,0.178,0.029,0.793,0.9984
Rohan narvekar,Reviewed in India on 24 July 2024,Iphone from Apple as usual top in quality and experiance.,"First of it looks very very prime quality and nicely fit in your hands. I am an android user still I don't face issue at the time of operating. In India you have to download required apps from app store free of cost. Apple store not available in India. You can use two sim , one physical micro sim and other esim. Conversion of physical micro sim to esim is very easy and happen in just two hours from your home. But after conversion sms service restricted for 24 hours as per guidelines if TRAI. No issue of connectivity if you have good network strength of your desired operator. Very crispy screen gives no strain on your eyes. Battery life is awesome , 1 one day for heavy user and 2 days for light user. Smooth performance of IOS system, no lags ,no glitches , not a single problem when you get to use. Sound is also very big but very crystal clear. Value is on high side,  so though it is very good in all aspects,  many people may find it very difficult to purchase .",5.0 out of 5 stars,Apple iPhone 15,Colour: BlueSize: 128 GB,0.175,0.104,0.721,0.9486
HINDUSTAN ELECTRICALS,Reviewed in India on 6 October 2023,iPhone 15 A solid upgrade and value for money,"DesignOne of the most noticeable changes to the iPhone 15 is its new design. The phone now has rounded edges, which makes it feel more comfortable in the hand. It also has a new camera bump that is less pronounced than the one on the iPhone 14. DisplayThe iPhone 15 has the same 6.1-inch Super Retina XDR display as the iPhone 14. However, the new display is brighter and has better contrast. It also supports HDR10 and Dolby Vision.PerformanceThe iPhone 15 is powered by the new A16 Bionic chip, which is the fastest mobile chip on the market. The A16 Bionic chip is up to 20% faster than the A15 Bionic chip in the iPhone 14.CameraThe iPhone 15 has a new 48-megapixel main camera. The new camera sensor is larger than the one in the iPhone 14, and it has better low-light performance. The iPhone 15 also has a new 12-megapixel ultrawide camera and a new 12-megapixel telephoto camera.Battery lifeThe iPhone 15 has the same battery life as the iPhone 14. This means that you can expect to get around a day of use on a single charge.  Overall  The iPhone 15 is a solid upgrade over the iPhone 14.ProsNew design with rounded edgesMore powerful A16 Bionic chip found in 14 proNew 48-megapixel main cameraBrighter display with upto 2000 nits brightnessUSB C can be used for anythingDynamic IslandCons No 120hz display No Macro photography",5.0 out of 5 stars,Apple iPhone 15,Colour: BlackSize: 128 GB,0.106,0.018,0.876,0.9665
stuti,Reviewed in India on 31 July 2024,Good one,After so many follow ups finally received a product. Product is good,4.0 out of 5 stars,Apple iPhone 15,Colour: BlueSize: 128 GB,0.225,0,0.775,0.4404
Shiv,Reviewed in India on 14 August 2024,It’s an iPhone…,"It was a gift for my 16th bday, what would you expect, it’s an iPhone ofc it’s the best in class and has the best capabilities. If you’re thinking of buying it then just go for it, it is the best!",5.0 out of 5 stars,Apple iPhone 15,Colour: BlackSize: 128 GB,0.305,0,0.695,0.9501
